ViolentCrimesPerPop	state	communityname	racepctblack	racePctHisp	agePct12t21	pctUrban	medIncome	pctWPubAsst	PctPopUnderPov	PctUnemployed	TotalPctDiv	PctKids2Par	PctImmigRec5	PctImmigRec10	PctRecImmig5	PctRecImmig10	PctNotSpeakEnglWell	NumInShelters	PctForeignBorn	LemasSwornFT	LemasTotalReq	PolicReqPerOffic	OfficAssgnDrugUnits	NumKindsDrugsSeiz	PolicAveOTWorked	PctUsePubTrans	LemasGangUnitDeploy	LemasPctOfficDrugUn
0.3874	34	PerthAmboycity	0.23	1	0.45	1	0.28	0.5	0.4	0.75	0.55	0.4	0.5	0.61	0.77	0.78	1	0.01	0.75	0.01	0.01	0.08	0.04	0.79	0.31	0.28	0	1
0.1669	9	Meridentown	0.08	0.25	0.33	1	0.41	0.3	0.18	0.3	0.53	0.57	0.27	0.34	0.1	0.1	0.22	0.02	0.18	0.01	0.02	0.25	0.02	0.21	0.31	0.04	1	0.44
0.3095	48	PortArthurcity	0.82	0.15	0.41	0.99	0.11	0.56	0.75	0.89	0.68	0.38	0.31	0.5	0.13	0.18	0.22	0.01	0.2	0.01	0.02	0.23	0.02	0.57	0.3	0.06	0.5	0.57
0.3517	8	Pueblocity	0.04	0.73	0.42	1	0.15	0.61	0.57	0.62	0.69	0.44	0.32	0.33	0.04	0.04	0.11	0.05	0.06	0.02	0.05	0.4	0.02	0.07	0.1	0.06	1	0.31
0.4008	8	Auroracity	0.22	0.12	0.37	1	0.36	0.17	0.19	0.26	0.76	0.61	0.37	0.49	0.13	0.14	0.09	0.03	0.16	0.07	0.29	1	0.08	0.79	0.33	0.23	0.5	0.61
0.2408	36	Yonkerscity	0.27	0.31	0.33	1	0.41	0.44	0.28	0.4	0.39	0.46	0.36	0.44	0.44	0.46	0.37	0.15	0.6	0.1	0.05	0.12	0.11	0.64	0.49	1	0.5	0.61
0.3045	49	Ogdencity	0.05	0.22	0.47	1	0.2	0.47	0.44	0.54	0.71	0.56	0.43	0.54	0.1	0.11	0.11	0.12	0.11	0.01	0.02	0.33	0	0	0.48	0.16	1	0
0.1788	25	Maldencity	0.08	0.05	0.28	1	0.37	0.31	0.19	0.49	0.39	0.62	0.5	0.6	0.42	0.42	0.2	0.07	0.4	0.01	0.01	0.11	0.01	0.07	0.33	1	0	0.35
0.1193	33	Manchestercity	0.02	0.04	0.36	1	0.33	0.27	0.23	0.45	0.57	0.59	0.38	0.36	0.16	0.12	0.11	0.09	0.2	0.02	0.02	0.21	0.03	0.43	0.5	0.08	0	0.44
0.4108	40	Lawtoncity	0.38	0.12	0.48	1	0.21	0.32	0.42	0.61	0.6	0.58	0.32	0.36	0.11	0.11	0.07	0.04	0.17	0.02	0.07	0.66	0.04	0.43	0.09	0	0	0.7
0.2696	12	Hollywoodcity	0.17	0.22	0.25	1	0.26	0.24	0.28	0.37	0.64	0.54	0.33	0.45	0.36	0.41	0.21	0.05	0.53	0.05	0.04	0.2	0.15	0.79	0.14	0.11	0.5	1
0.3501	48	Amarillocity	0.12	0.27	0.41	1	0.22	0.26	0.44	0.42	0.66	0.62	0.49	0.68	0.12	0.14	0.16	0.16	0.12	0.04	0.04	0.22	0.15	0.79	0	0.05	1	1
0.3581	4	Tucsoncity	0.08	0.54	0.5	1	0.17	0.31	0.53	0.53	0.7	0.46	0.5	0.53	0.33	0.29	0.27	0.26	0.32	0.15	0.26	0.47	0.11	0.57	0.3	0.24	0.5	0.41
0.2214	6	SantaClaracity	0.05	0.28	0.36	1	0.54	0.27	0.15	0.24	0.62	0.59	0.51	0.66	0.72	0.78	0.34	0.07	0.68	0.02	0.06	0.55	0.02	0.93	0.36	0.14	1	0.43
0.6321	6	Inglewoodcity	1	0.72	0.48	1	0.3	0.55	0.43	0.68	0.77	0.33	0.56	0.68	1	1	0.9	0.01	0.86	0.03	0.03	0.22	0.04	0.36	0.31	0.42	0.5	0.6
0.2836	6	SantaMonicacity	0.09	0.26	0.13	1	0.4	0.22	0.24	0.27	0.82	0.59	0.32	0.43	0.49	0.55	0.3	0.19	0.75	0.02	0.05	0.47	0.02	0.57	0.17	0.3	0.5	0.38
0.1565	34	Cliftoncity	0.03	0.12	0.26	1	0.47	0.14	0.11	0.26	0.31	0.78	0.29	0.39	0.34	0.38	0.26	0	0.57	0.02	0.06	0.56	0.05	0.43	0.05	0.32	0	1
0.2063	25	Lowellcity	0.05	0.19	0.47	1	0.29	0.72	0.47	0.73	0.49	0.4	0.57	0.78	0.57	0.66	0.45	0.11	0.49	0.03	0.05	0.38	0.07	0.43	0.39	0.16	0	1
0.3646	22	BatonRougecity	0.86	0.03	0.6	1	0.17	0.47	0.7	0.62	0.59	0.28	0.6	0.67	0.11	0.1	0.05	0.08	0.08	0.12	0.08	0.18	0.07	0.5	0.27	0.11	0.5	0.35
0.3701	12	Bartowcity	0.57	0.06	0.46	0	0.23	0.43	0.43	0.38	0.71	0.28	0.36	0.47	0.07	0.07	0.08	0	0.08	0.07	0.08	0.3	0.18	0.71	0.36	0.03	0.5	1
0.1905	48	SanAngelocity	0.09	0.52	0.52	1	0.2	0.29	0.49	0.5	0.57	0.61	0.23	0.36	0.08	0.1	0.25	0.14	0.16	0.02	0.05	0.46	0.07	0.71	0.39	0.04	0	1
0.4305	37	Fayettevillecity	0.75	0.06	0.49	1	0.21	0.5	0.49	0.47	0.67	0.36	0.34	0.35	0.07	0.06	0.05	0.06	0.1	0.03	0.08	0.49	0.01	0.29	0.05	0.07	1	0.19
0.6986	34	Passaiccity	0.4	0.93	0.47	1	0.25	0.53	0.45	0.75	0.53	0.34	0.68	0.77	1	1	1	0.01	1	0.02	0.02	0.22	0.03	0.29	1	0.7	0	0.7
0.2792	12	Clearwatercity	0.17	0.05	0.26	1	0.25	0.2	0.27	0.27	0.68	0.47	0.27	0.35	0.13	0.14	0.08	0.13	0.24	0.04	0.1	0.64	0.03	0.29	0.65	0.09	1	0.37
0.3498	54	Huntingtoncity	0.13	0.01	0.55	1	0.11	0.46	0.61	0.73	0.59	0.49	0.49	0.45	0.04	0.03	0.02	0.04	0.03	0.01	0.02	0.33	0.04	0.29	0.3	0.09	0	1
0.346	25	Lynncity	0.16	0.17	0.35	1	0.28	0.65	0.42	0.62	0.57	0.38	0.59	0.66	0.5	0.47	0.35	0.12	0.41	0.02	0.03	0.27	0.02	0.71	0.99	0.5	1	0.41
0.1678	34	Woodbridgetownship	0.13	0.1	0.27	1	0.56	0.15	0.07	0.27	0.33	0.77	0.34	0.46	0.25	0.29	0.13	0.03	0.36	0.02	0.03	0.26	0.02	0.64	0.02	0.39	0	0.36
0.712	34	JerseyCitycity	0.58	0.45	0.41	1	0.29	0.59	0.5	0.74	0.52	0.23	0.55	0.68	0.84	0.86	0.52	0.27	0.73	0.19	0.28	0.4	0.18	0.71	0.17	1	0	0.55
0.3944	37	Greensborocity	0.66	0.02	0.51	1	0.29	0.23	0.3	0.25	0.59	0.47	0.65	0.71	0.11	0.1	0.05	0.08	0.07	0.03	0.01	0.09	0.02	0.64	0.05	0.09	1	0.33
0.2507	12	CoralSpringscity	0.07	0.13	0.53	1	0.52	0.08	0.12	0.2	0.42	0.81	0.44	0.52	0.31	0.3	0.12	0	0.34	0.02	0.03	0.31	0.04	0.57	0.15	0.04	0.5	0.67
0.4807	13	Savannahcity	1	0.02	0.46	1	0.17	0.58	0.6	0.5	0.74	0.23	0.35	0.46	0.04	0.05	0.04	0.14	0.05	0.01	0.02	0.23	0.12	0.21	0.06	0.35	0	1
0.218	41	Eugenecity	0.02	0.05	0.56	1	0.23	0.26	0.45	0.4	0.62	0.59	0.73	0.62	0.23	0.16	0.05	0.27	0.15	0.02	0.06	0.67	0.05	0.93	0.24	0.2	1	1
0.1034	6	Torrancecity	0.03	0.19	0.31	1	0.59	0.19	0.12	0.2	0.54	0.73	0.56	0.62	0.76	0.7	0.37	0	0.66	0.03	0.03	0.21	0.03	0.5	0.76	0.09	1	0.42
0.525	42	Lancastercity	0.24	0.38	0.52	1	0.17	0.66	0.55	0.4	0.72	0.2	0.32	0.48	0.08	0.1	0.31	0.2	0.12	0.01	0.02	0.19	0	0.57	0.14	0.31	0	0
0.2338	44	Pawtucketcity	0.07	0.13	0.34	1	0.25	0.42	0.27	0.52	0.53	0.54	0.35	0.42	0.39	0.38	0.48	0	0.53	0.02	0.03	0.34	0.06	0.5	0.18	0.18	0.5	1
0.4448	13	Decaturcity	0.76	0.02	0.3	1	0.25	0.33	0.47	0.35	0.78	0.19	0.59	0.5	0.08	0.06	0.03	0.01	0.06	0.13	0.18	0.37	0.16	0.79	0.27	0.76	0	0.71
0.7162	9	NewHaventown	0.7	0.24	0.55	1	0.23	0.71	0.56	0.62	0.59	0.05	0.54	0.56	0.27	0.23	0.25	0.79	0.24	0.07	0.07	0.24	0.04	0.64	0.43	0.53	0.5	0.32
0.4113	6	ElMontecity	0.02	1	0.6	1	0.27	0.75	0.6	0.63	0.43	0.43	0.58	0.7	1	1	1	0.17	1	0.01	0.03	0.34	0.04	0.79	0.33	0.36	1	1
0.4322	45	Spartanburgcity	0.89	0.01	0.5	1	0.18	0.59	0.58	0.43	0.71	0.18	0.45	0.47	0.07	0.06	0.04	0.07	0.07	0.01	0.04	0.51	0.11	0.57	0.39	0.13	0	1
0.3239	37	Charlottecity	0.62	0.02	0.37	1	0.33	0.24	0.28	0.22	0.64	0.48	0.55	0.62	0.13	0.12	0.07	0.31	0.11	0.02	0.01	0.08	0.04	0.57	0.06	0.25	0	0.71
0.4406	12	Lakelandcity	0.39	0.06	0.38	1	0.21	0.3	0.36	0.41	0.65	0.37	0.28	0.36	0.07	0.08	0.06	0.08	0.12	0.03	0.03	0.23	0.07	0.57	0.33	0.07	1	0.99
0.3419	45	NorthCharlestoncity	0.67	0.04	0.56	1	0.17	0.38	0.58	0.27	0.73	0.36	0.37	0.48	0.05	0.06	0.04	0.02	0.06	0.02	0.04	0.45	0.01	0.64	0.02	0.17	1	0.3
0.5973	51	Richmondcity	1	0.02	0.38	1	0.2	0.49	0.55	0.4	0.79	0.05	0.44	0.52	0.05	0.05	0.03	0.17	0.05	0.13	0.45	0.95	0.11	0.71	0.19	0.72	0.5	0.48
0.4213	1	Montgomerycity	0.83	0.01	0.48	1	0.24	0.4	0.48	0.44	0.64	0.38	0.39	0.45	0.04	0.04	0.03	0.06	0.04	0.02	0.01	0.1	0.02	0.21	0.07	0.09	0	0.36
0.1059	9	Stratfordtown	0.15	0.06	0.29	1	0.5	0.15	0.08	0.28	0.36	0.7	0.15	0.18	0.06	0.06	0.06	0	0.18	0.01	0.01	0.22	0.02	0.5	0.38	0.11	0	0.51
0.3368	42	Allentowncity	0.1	0.22	0.36	1	0.24	0.41	0.33	0.38	0.57	0.45	0.47	0.52	0.17	0.15	0.24	0.06	0.17	0.03	0.04	0.34	0.05	0.36	0.2	0.19	0	0.72
0.3834	6	LongBeachcity	0.27	0.44	0.41	1	0.33	0.55	0.44	0.41	0.67	0.43	0.55	0.74	0.82	0.92	0.63	0.23	0.72	0.13	0.31	0.65	0.1	0.5	0.72	0.35	0.5	0.43
0.145	6	BeverlyHillscity	0.03	0.1	0.3	1	0.7	0.15	0.16	0.19	0.58	0.74	0.39	0.5	0.83	0.9	0.31	0	1	0.01	0.03	0.4	0.02	0	0.19	0.24	0	0.49
0.2867	34	Bayonnecity	0.09	0.17	0.3	1	0.34	0.26	0.22	0.35	0.38	0.62	0.32	0.4	0.23	0.25	0.24	0	0.36	0.02	0.03	0.25	0.03	0.57	0.12	0.96	0	0.49
0.2917	39	Cantoncity	0.35	0.02	0.4	1	0.14	0.72	0.58	0.77	0.75	0.38	0.15	0.17	0.02	0.02	0.05	0.02	0.06	0.02	0.03	0.25	0.05	0.5	0.14	0.14	0	0.93
0.2816	36	NiagaraFallscity	0.3	0.02	0.35	1	0.15	0.62	0.49	0.74	0.58	0.38	0.11	0.12	0.04	0.04	0.06	0.1	0.19	0.02	0.03	0.3	0.04	0.5	0.39	0.17	0	0.66
0.2226	48	Killeencity	0.59	0.26	0.56	1	0.18	0.2	0.38	0.64	0.53	0.63	0.38	0.46	0.2	0.2	0.1	0.01	0.25	0.01	0.01	0.2	0.08	0.36	0.26	0.01	0	1
0.2052	9	WestHaventown	0.24	0.06	0.32	1	0.4	0.22	0.15	0.32	0.5	0.58	0.36	0.48	0.18	0.21	0.1	0.04	0.25	0.01	0.02	0.23	0.02	0.21	0.07	0.19	0	0.58
0.0879	55	GreenBaycity	0.01	0.02	0.4	1	0.25	0.4	0.35	0.32	0.47	0.67	0.56	0.69	0.08	0.09	0.09	0.09	0.07	0.01	0.01	0.18	0.04	0.43	0.55	0.12	1	0.8
0.3645	53	Seattlecity	0.2	0.06	0.27	1	0.29	0.3	0.32	0.28	0.71	0.48	0.48	0.57	0.39	0.38	0.2	1	0.39	0.11	0.17	0.4	0.07	0.5	0.18	0.92	0.5	0.36
0.5417	1	Birminghamcity	1	0.01	0.41	0.99	0.13	0.52	0.66	0.62	0.79	0.16	0.69	0.67	0.05	0.04	0.02	0.32	0.03	0.14	0.23	0.43	0.1	0.57	0.3	0.2	0.5	0.38
0.2036	18	SouthBendcity	0.41	0.06	0.36	1	0.21	0.4	0.37	0.51	0.62	0.41	0.42	0.4	0.09	0.07	0.07	0.14	0.1	0.04	0.13	0.78	0.12	0.64	0.35	0.2	0.5	1
0.3604	42	Eriecity	0.23	0.04	0.46	1	0.17	0.63	0.51	0.59	0.57	0.41	0.18	0.22	0.03	0.03	0.08	0.13	0.06	0.03	0.05	0.33	0.03	0.57	0.06	0.21	0	0.43
0.2732	42	Readingcity	0.19	0.34	0.41	1	0.17	0.58	0.51	0.57	0.69	0.25	0.5	0.56	0.13	0.12	0.33	0.1	0.12	0.02	0.03	0.24	0.04	0.57	0.59	0.41	1	0.65
0.2931	34	Elizabethcity	0.39	0.73	0.39	1	0.26	0.55	0.42	0.67	0.54	0.38	0.45	0.58	1	1	1	0.04	1	0.05	0.06	0.27	0.08	0.93	0.37	0.59	1	0.76
0.5632	48	Brownsvillecity	0	1	0.72	1	0.07	1	1	1	0.41	0.47	0.3	0.46	0.54	0.69	1	0.02	0.86	0.02	0.03	0.34	0.03	0.14	0.67	0.13	0	0.5
0.4424	55	Milwaukeecity	0.59	0.11	0.44	1	0.2	0.75	0.59	0.59	0.64	0.21	0.37	0.44	0.11	0.11	0.12	0.3	0.14	0.41	0.16	0.1	0.16	0.79	0.57	0.62	0.5	0.24
0.3389	37	RockyMountcity	0.97	0.01	0.44	1	0.21	0.55	0.48	0.34	0.62	0.3	0.42	0.46	0.02	0.02	0.04	0.01	0.02	0.01	0.02	0.27	0.01	0.64	0.1	0.03	1	0.36
0.6216	24	Baltimorecity	1	0.02	0.38	1	0.21	0.81	0.58	0.61	0.79	0	0.41	0.46	0.08	0.07	0.06	0.67	0.09	0.63	0.74	0.33	0.37	0.64	0.18	1	0	0.36
0.1453	6	Oceansidecity	0.15	0.42	0.35	1	0.36	0.37	0.26	0.43	0.55	0.6	0.51	0.56	0.49	0.45	0.4	0.03	0.46	0.03	0.07	0.56	0.04	0.43	0.54	0.23	0.5	0.67
0.3828	6	Sacramentocity	0.3	0.3	0.37	1	0.27	0.79	0.45	0.49	0.8	0.4	0.42	0.62	0.35	0.44	0.39	0.75	0.41	0.12	0.15	0.34	0.19	0.79	0.24	0.23	0.5	0.89
0.647	48	Galvestoncity	0.57	0.4	0.38	0.99	0.15	0.45	0.64	0.59	0.83	0.28	0.32	0.51	0.15	0.2	0.2	0.06	0.23	0.02	0.03	0.3	0.03	0.5	0.32	0.18	1	0.44
0.5135	34	Irvingtontownship	1	0.19	0.45	1	0.31	0.56	0.32	0.67	0.65	0.18	0.44	0.61	0.53	0.61	0.3	0	0.59	0.02	0.02	0.22	0.01	0.57	0.11	1	0	0.19
0.3776	48	Wacocity	0.45	0.3	0.67	1	0.1	0.43	0.76	0.55	0.62	0.33	0.4	0.6	0.11	0.14	0.16	0.03	0.13	0.03	0.03	0.24	0.05	0.79	0.16	0.04	1	0.68
0.1626	53	Spokanecity	0.04	0.04	0.39	1	0.17	0.53	0.46	0.53	0.8	0.47	0.35	0.35	0.09	0.07	0.05	0.15	0.11	0.04	0.07	0.38	0.06	0.57	0.35	0.25	1	0.69
0.5038	53	Everettcity	0.03	0.05	0.34	1	0.28	0.52	0.31	0.39	0.89	0.47	0.32	0.51	0.13	0.17	0.11	0.13	0.19	0.02	0.06	0.54	0.04	0.64	0.43	0.2	0.5	0.83
0.32	6	MontereyParkcity	0.01	0.58	0.41	1	0.35	0.67	0.43	0.38	0.32	0.58	0.52	0.68	1	1	1	0	1	0	0.01	0.22	0.01	0.5	0.37	0.27	0.5	0.59
0.4258	48	Austincity	0.24	0.43	0.53	1	0.23	0.2	0.47	0.39	0.66	0.5	0.59	0.73	0.31	0.32	0.23	0.28	0.25	0.16	0.26	0.43	0.08	0.57	0.16	0.28	0.5	0.28
0.0093	34	Waynetownship	0.02	0.06	0.41	1	0.78	0.09	0.04	0.2	0.18	0.91	0.23	0.28	0.15	0.15	0.1	0	0.32	0.01	0.02	0.25	0.02	0.79	0.06	0.23	0	0.51
0.1051	9	Norwalktown	0.3	0.17	0.26	1	0.6	0.19	0.12	0.26	0.46	0.59	0.37	0.45	0.3	0.31	0.23	0.07	0.39	0.02	0.07	0.61	0.07	0.29	0.02	0.46	0	1
0.5689	6	SanBernardinocity	0.31	0.64	0.45	1	0.23	0.89	0.6	0.73	0.78	0.36	0.59	0.69	0.56	0.55	0.54	0.48	0.46	0.24	0.29	0.34	0.16	0.43	0.24	0.1	0.5	0.4
0.3698	40	MidwestCitycity	0.32	0.05	0.44	1	0.25	0.24	0.29	0.41	0.74	0.51	0.35	0.39	0.05	0.05	0.04	0.02	0.07	0.01	0.03	0.52	0.03	0.5	0.08	0	1	0.9
0.2354	47	Knoxvillecity	0.31	0.01	0.51	1	0.14	0.47	0.55	0.45	0.7	0.38	0.77	0.75	0.09	0.08	0.03	0.21	0.05	0.05	0.13	0.58	0.11	0.5	0.11	0.11	0	1
0.2844	55	Kenoshacity	0.12	0.11	0.43	1	0.27	0.48	0.33	0.5	0.56	0.53	0.25	0.27	0.08	0.07	0.1	0.04	0.14	0.02	0.04	0.32	0.03	0.36	0.14	0.11	0.5	0.51
0.1889	6	SantaRosacity	0.03	0.17	0.36	1	0.39	0.35	0.21	0.26	0.71	0.6	0.48	0.56	0.29	0.28	0.18	0.13	0.29	0.01	0.04	0.47	0.03	0.57	0.74	0.13	1	0.56
0.4543	39	Columbuscity	0.44	0.02	0.46	1	0.25	0.45	0.45	0.36	0.68	0.41	0.65	0.66	0.15	0.13	0.06	0.34	0.11	0.3	0.63	0.61	0.15	1	0.5	0.26	0.5	0.31
0.216	35	Albuquerquecity	0.06	0.64	0.39	1	0.26	0.25	0.36	0.39	0.71	0.53	0.37	0.51	0.13	0.15	0.17	0.15	0.16	0.03	0.09	0.57	0.06	0.64	0.32	0.11	0.5	0.77
0.212	39	Toledocity	0.38	0.07	0.45	1	0.22	0.6	0.5	0.67	0.66	0.41	0.48	0.45	0.08	0.06	0.05	0.15	0.08	0.14	0.18	0.34	0.11	0.79	0.23	0.17	0.5	0.45
0.5167	34	UnionCitycity	0.1	1	0.4	1	0.23	0.64	0.48	0.74	0.72	0.36	0.42	0.57	1	1	1	0.11	1	0.02	0.03	0.25	0.03	0.36	0.12	1	0	0.51
0.1452	9	Stamfordtown	0.35	0.18	0.26	1	0.63	0.25	0.15	0.29	0.43	0.57	0.47	0.51	0.54	0.49	0.25	0.08	0.55	0.05	0.04	0.18	0.05	0.5	0.17	0.63	0	0.45
0.1929	20	Wichitacity	0.22	0.09	0.37	1	0.27	0.29	0.32	0.35	0.66	0.58	0.48	0.63	0.12	0.13	0.08	0.12	0.12	0.08	0.18	0.57	0.05	0.36	0.24	0.06	0.5	0.32
0.1238	34	WestOrangetownship	0.11	0.08	0.25	1	0.63	0.15	0.1	0.21	0.25	0.82	0.34	0.42	0.34	0.34	0.22	0.01	0.47	0.01	0.01	0.2	0.01	0.5	0.16	0.43	1	0.43
0.5529	6	LosAngelescity	0.27	0.74	0.43	1	0.32	0.52	0.5	0.55	0.58	0.43	0.56	0.68	1	1	1	1	1	1	1	0.45	1	0.86	0.21	0.61	0.5	0.5
0.3218	48	CorpusChristicity	0.09	0.94	0.48	1	0.23	0.42	0.53	0.54	0.64	0.54	0.21	0.37	0.07	0.1	0.35	0.06	0.15	0.07	0.1	0.36	0.08	0.57	0.36	0.1	1	0.64
0.1712	44	Cranstoncity	0.05	0.04	0.29	1	0.38	0.3	0.16	0.36	0.42	0.71	0.16	0.27	0.07	0.1	0.12	0.05	0.21	0.02	0	0.02	0	0.64	0.67	0.15	0	0
0.0473	34	CherryHilltownship	0.06	0.03	0.36	1	0.7	0.1	0.05	0.14	0.24	0.88	0.21	0.32	0.12	0.16	0.09	0	0.28	0.01	0.02	0.23	0.01	0.43	0.2	0.39	0	0.26
0.5453	13	Albanycity	1	0.01	0.58	1	0.17	0.77	0.73	0.74	0.74	0.17	0.3	0.4	0.02	0.02	0.03	0.02	0.02	0.03	0.06	0.44	0.08	0.79	0.1	0.1	1	1
0.6963	42	Harrisburgcity	0.99	0.14	0.39	1	0.14	0.81	0.72	0.7	0.88	0	0.51	0.58	0.09	0.09	0.15	0.11	0.08	0.02	0.03	0.31	0.02	0.29	0.25	0.71	1	0.33
0.2705	36	WhitePlainscity	0.37	0.26	0.27	1	0.53	0.21	0.19	0.29	0.45	0.56	0.5	0.54	0.65	0.59	0.32	0.32	0.63	0.03	0.02	0.14	0.01	0.57	0.28	1	0	0.1
0.1737	25	Haverhillcity	0.04	0.1	0.33	1	0.42	0.4	0.22	0.45	0.47	0.59	0.31	0.32	0.11	0.09	0.09	0.03	0.17	0.01	0.02	0.35	0.01	0.64	0.16	0.14	0	0.45
0.6954	36	NewYorkcity	0.56	0.45	0.37	1	0.3	0.64	0.51	0.6	0.55	0.29	0.44	0.55	0.78	0.8	0.63	1	0.85	1	1	0.2	1	0.64	0.63	1	0.5	0.71
0.3303	6	PaloAltocity	0.06	0.09	0.25	0.99	0.72	0.14	0.11	0.08	0.58	0.73	0.54	0.56	0.6	0.52	0.13	0.01	0.54	0.01	0.01	0.19	0	0.64	0.5	0.15	0	0
0.5573	12	Sanfordcity	0.56	0.09	0.41	1	0.22	0.44	0.43	0.35	0.88	0.33	0.32	0.45	0.07	0.09	0.09	0.03	0.11	0.03	0.2	1	0.07	0.86	0.18	0.04	1	1
0.115	29	Independencecity	0.03	0.03	0.35	0.99	0.27	0.24	0.24	0.32	0.63	0.62	0.26	0.3	0.03	0.02	0.03	0	0.04	0.02	0.05	0.45	0.02	0.5	0.19	0.07	1	0.4
0.5732	18	Garycity	1	0.1	0.55	1	0.13	0.84	0.79	1	0.87	0	0.08	0.1	0.01	0.01	0.04	0.05	0.04	0.03	0.03	0.22	0.06	0.36	0.21	0.34	0.5	0.79
0.5959	34	Trentoncity	0.96	0.26	0.41	1	0.23	0.61	0.47	0.74	0.74	0.07	0.44	0.58	0.2	0.22	0.31	0.21	0.22	0.07	0.07	0.24	0.07	0.93	0.27	0.57	0	0.57
0.1435	25	Brocktoncity	0.25	0.12	0.42	1	0.33	0.71	0.35	0.61	0.53	0.45	0.5	0.53	0.34	0.31	0.22	0.15	0.33	0.03	0.04	0.28	0.03	0.64	0.08	0.31	0	0.34
0.1975	12	BocaRatoncity	0.06	0.1	0.29	1	0.51	0.09	0.13	0.15	0.42	0.78	0.48	0.52	0.39	0.36	0.15	0	0.39	0.01	0.03	0.38	0.03	0.43	0.09	0.03	1	0.66
0.0871	46	SiouxFallscity	0.01	0.01	0.4	1	0.26	0.22	0.22	0.13	0.48	0.71	0.48	0.55	0.05	0.05	0.04	0.06	0.05	0.02	0.02	0.23	0.01	0.43	0.25	0.03	0	0.31
0.8286	9	Hartfordtown	0.76	0.59	0.55	1	0.17	1	0.73	0.73	0.76	0	0.45	0.56	0.43	0.44	0.63	0.41	0.45	0.09	0.17	0.52	0.19	0.43	1	0.97	1	1
0.2099	37	Raleighcity	0.54	0.02	0.5	1	0.34	0.18	0.3	0.21	0.56	0.55	0.71	0.72	0.22	0.19	0.06	0.13	0.15	0.08	0.06	0.2	0.11	0.86	0.15	0.16	0.5	0.72
0.9429	13	Atlantacity	1	0.03	0.45	1	0.18	0.67	0.73	0.61	0.87	0	0.64	0.72	0.13	0.13	0.08	1	0.1	0.03	0.11	0.74	0.04	0.43	0	1	1	0.6
